2021 CPI forecasts,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
Consumer Price Index item,2020-07-01 00:00:00,2020-08-01 00:00:00,2020-09-01 00:00:00,2020-10-01 00:00:00,2020-11-01 00:00:00,2020-12-01 00:00:00,2021-01-01 00:00:00,2021-02-01 00:00:00,2021-03-01 00:00:00,2021-04-01 00:00:00,2021-05-01 00:00:00,2021-06-01 00:00:00,2021-07-01 00:00:00,2021-08-01 00:00:00,2021-09-01 00:00:00,2021-10-01 00:00:00,2021-11-01 00:00:00,2021-12-01 00:00:00
All food,  2.0 to 3.0,  2.0 to 3.0,  2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.5 to 3.5 ,2.5 to 3.5,3.0 to 4.0,3.0 to 4.0,3.0 to 4.0,3.0 to 4.0,3.0 to 4.0
    Food away from home,  1.5 to 2.5,  1.5 to 2.5,  1.5 to 2.5, 2.0 to 3.0, 2.0 to 3.0,2.0 to 3.0,2.0 to 3.0, 2.0 to 3.0, 2.0 to 3.0, 2.5 to 3.5, 2.5 to 3.5, 3.0 to 4.0 , 3.0 to 4.0 , 3.5 to 4.5, 3.5 to 4.5, 3.5 to 4.5,4.0 to 5.0,4.0 to 5.0
    Food at home,  1.0 to 2.0 ,  1.0 to 2.0 ,  1.0 to 2.0 ,1.0 to 2.0 ,1.0 to 2.0 ,1.0 to 2.0 ,1.0 to 2.0 ,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.5 to 2.5,2.0 to 3.0 ,2.0 to 3.0,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5
"        Meats, poultry, and fish", -0.5 to 0.5, -0.5 to 0.5, -0.5 to 0.5, -0.5 to 0.5, -0.5 to 0.5,-0.5 to 0.5, -0.5 to 0.5, -0.5 to 0.5, 0.0 to 1.0, 0.0 to 1.0, 1.5 to 2.5,2.0 to 3.0 ,2.5 to 3.5,3.0 to 4.0,4.0 to 5.0,4.5 to 5.5,5.0 to 6.0,6.0 to 7.0
            Meats, -1.5 to 1.5, -1.5 to 1.5, -1.5 to 1.5,-1.5 to 1.5,-1.5 to 1.5,-1.5 to 1.5,-1.5 to 1.5,-0.5 to 0.5,0.0 to 1.0,0.0 to 1.0 ,1.5 to 2.5,2.0 to 3.0 ,3.0 to 4.0,3.5 to 4.5,4.5 to 5.5 ,5.5 to 6.5,6.0 to 7.0,7.0 to 8.0
                Beef and veal, -2.5 to -1.5 , -2.5 to -1.5 , -2.5 to -1.5 , -2.5 to -1.5 , -2.5 to -1.5 ,-2.5 to -1.5 ,  -2.5 to -1.5 , -2.5 to -1.5 , -2.0 to -1.0, -1.5 to -0.5, 1.0 to 2.0,2.0 to 3.0, 3.0 to 4.0,4.0 to 5.0, 5.0 to 6.0, 6.5 to 7.5,7.5 to 8.5,9.0 to 10.0
                Pork, -0.5 to 0.5, -0.5 to 0.5, -0.5 to 0.5, -0.5 to 0.5, -0.5 to 0.5,-0.5 to 0.5,-0.5 to 0.5, -0.5 to 0.5, -0.5 to 0.5, 0.0 to 1.0, 2.0 to 3.0, 3.0 to 4.0 , 4.0 to 5.0,5.0 to 6.0, 6.0 to 7.0, 6.5 to 7.5,7.0 to 8.0,8.0 to 9.0
                Other meats, -0.5 to 0.5, -0.5 to 0.5, -0.5 to 0.5, -0.5 to 0.5, -0.5 to 0.5,-0.5 to 0.5, -0.5 to 0.5, -0.5 to 0.5, 0.0 to 1.0, 0.5 to 1.5, 1.0 to 2.0, 1.0 to 2.0 , 1.0 to 2.0 ,1.0 to 2.0 , 1.0 to 2.0 , 1.5 to 2.5,2.0 to 3.0,2.0 to 3.0
             Poultry, -0.5 to 0.5, -0.5 to 0.5, -0.5 to 0.5, -0.5 to 0.5, -0.5 to 0.5,-0.5 to 0.5,  0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.5 to 1.5,1.5 to 2.5 ,2.5 to 3.5,3.0 to 4.0,3.0 to 4.0,3.5 to 4.5,4.0 to 5.0,4.5 to 5.5
             Fish and seafood,  1.5 to 2.5 ,  1.5 to 2.5 ,  1.5 to 2.5 , 1.5 to 2.5 , 1.5 to 2.5 ,1.5 to 2.5 ,1.5 to 2.5 , 1.5 to 2.5 , 1.5 to 2.5 , 1.5 to 2.5 , 1.5 to 2.5 , 1.5 to 2.5 , 2.0 to 3.0,3.0 to 4.0, 3.5 to 4.5 , 4.0 to 5.0, 4.0 to 5.0, 4.5 to 5.5
