2018 CPI forecasts,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
             Fish and seafood,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,1.0 to 2.0,1.0 to 2.0,1.25 to 2.25,1.25 to 2.25
        Eggs,1.0 to 2.0,1.0 to 2.0,-1.0 to 0.0,5.0 to 6.0,4.0 to 5.0,4.0 to 5.0,4.0 to 5.0,0.0 to 1.0,3.0 to 4.0,6.0 to 7.0,6.0 to 7.0,6.0 to 7.0,6.0 to 7.0,9.0 to 10.0,9.0 to 10.0,9.0 to 10.0,9.0 to 10.0,10.0 to 11.0
        Dairy products,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,0.5 to 1.5,0.5 to 1.5,0.0 to 1.0,-0.5 to 0.5,-1.0 to 0.0,-1.0 to 0.0,-1.0 to 0.0,-1.0 to 0.0,-1.0 to 0.0,-1.0 to 0.0
        Fats and oils,-1.0 to 0.0,-1.0 to 0.0,-3.0 to -2.0,-2.5 to -1.5,-2.5 to -1.5,-2.5 to -1.5,-2.5 to -1.5,-2.5 to -1.5,-1.5 to -0.5,-1.5 to -0.5,-1.5 to -0.5,-1.5 to -0.5,-1.5 to -0.5,-1.0 to 0.0,-0.75 to 0.25,-0.5 to 0.5,-0.25 to 0.75,-0.25 to 0.75
        Fruits and vegetables,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,1.25 to 2.25,1.25 to 2.25,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.0 to 1.0,0.25 to 1.25,0.25 to 1.25,0.25 to 1.25,0.25 to 1.25,0.25 to 1.25
            Fresh fruits & vegetables,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,2.0 to 3.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,0.5 to 1.5,0.75 to 1.75,0.75 to 1.75,0.75 to 1.75,0.75 to 1.75,0.75 to 1.75
              Fresh fruits,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,3.0 to 4.0,3.0 to 4.0,3.0 to 4.0,3.0 to 4.0,4.0 to 5.0,2.5 to 3.5,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.0 to 2.0,0.75 to 1.75
              Fresh vegetables,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,-0.5 to 0.5,-0.5 to 0.5,-0.5 to 0.5,-0.5 to 0.5,-0.5 to 0.5,-0.5 to 0.5,-0.5 to 0.5,-0.5 to 0.5,-0.5 to 0.5,-0.5 to 0.5,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.25 to 1.25
            Processed fruits & vegetables,-0.5 to 0.5,-0.5 to 0.5,-0.5 to 0.5,-0.5 to 0.5,-0.5 to 0.5,-0.5 to 0.5,-0.5 to 0.5,-0.5 to 0.5,-0.5 to 0.5,-1.0 to 0.0,-1.0 to 0.0,-1.0 to 0.0,-1.0 to 0.0,-1.25 to -0.25,-1.25 to -0.25,-1.25 to -0.25,-1.25 to -0.25,-1.25 to -0.25
        Sugar and sweets,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.25 to 1.25,0.25 to 1.25,0.25 to 1.25,0.25 to 1.25,0.0 to 1.0,0.0 to 1.0
        Cereals and bakery products,3.0 to 4.0,3.0 to 4.0,3.0 to 4.0,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,2.0 to 3.0,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.25 to 1.25,0.25 to 1.25,0.25 to 1.25,0.25 to 1.25,0.25 to 1.25,0.0 to 1.0
        Nonalcoholic beverages,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,-0.25 to 0.75,-0.25 to 0.75,-0.25 to 0.75,-0.5 to 0.5,-0.5 to 0.5,-0.5 to 0.5,-0.5 to 0.5,-0.5 to 0.5,-0.5 to 0.5
        Other foods,0.25 to 1.25,0.25 to 1.25,0.25 to 1.25,0.25 to 1.25,0.25 to 1.25,0.25 to 1.25,0.25 to 1.25,0.25 to 1.25,0.25 to 1.25,0.25 to 1.25,0.25 to 1.25,0.25 to 1.25,0.0 to 1.0,0.0 to 1.0,-0.25 to 0.75,-0.25 to 0.75,-0.25 to 0.75,-0.25 to 0.75
About this table: ,,,,,,,,,,,,,,,,,,
      1. Each column represents the month/year that the forecast was made. ,,,,,,,,,,,,,,,,,,
      2. Each cell represents the percent change range for each forecast. ,,,,,,,,,,,,,,,,,,
"Source: USDA, Economic Research Service.",,,,,,,,,,,,,,,,,,
"For questions, contact:",,,,,,,,,,,,,,,,,,
"Matthew MacLachlan, matthew.maclachlan@usda.gov or Megan Sweitzer, megan.sweitzer@usda.gov
",,,,,,,,,,,,,,,,,,
