2017 CPI forecasts,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
Consumer Price Index item,2016-07-01 00:00:00,2016-08-01 00:00:00,2016-09-01 00:00:00,2016-10-01 00:00:00,2016-11-01 00:00:00,2016-12-01 00:00:00,2017-01-01 00:00:00,2017-02-01 00:00:00,2017-03-01 00:00:00,2017-04-01 00:00:00,2017-05-01 00:00:00,2017-06-01 00:00:00,2017-07-01 00:00:00,2017-08-01 00:00:00,2017-09-01 00:00:00,2017-10-01 00:00:00,2017-11-01 00:00:00,2017-12-01 00:00:00
All food,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,0.5 to 1.5,0.5 to 1.5
    Food away from home,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0
    Food at home,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,-0.25 to 0.75,-0.25 to 0.75,-0.25 to 0.75,-0.25 to 0.75,-0.25 to 0.75,-0.5 to 0.5
"        Meats, poultry, and fish",1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,-0.5 to 0.5,-0.5 to 0.5,-0.5 to 0.5,-0.5 to 0.5,-0.5 to 0.5,-0.5 to 0.5,-0.5 to 0.5,-0.5 to 0.5
            Meats,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,-1.0 to 0.0,-1.0 to 0.0,-1.0 to 0.0,-1.5 to -0.5,-1.5 to -0.5,-1.5 to -0.5,-1.5 to -0.5,-1.5 to -0.5,-1.5 to -0.5,-1.5 to -0.5,-1.5 to -0.5
                Beef and veal,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,1.0 to 2.0,-2.0 to -1.0,-2.0 to -1.0,-2.0 to -1.0,-2.5 to -1.5,-2.5 to -1.5,-2.5 to -1.5,-2.5 to -1.5,-2.5 to -1.5,-2.0 to -1.0,-2.0 to -1.0,-2.0 to -1.0,-2.0 to -1.0,-1.75 to -0.75,-1.75 to -0.75
                Pork,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,-1.0 to 0.0,-1.0 to 0.0,-1.0 to 0.0,-2.0 to -1.0,-2.0 to -1.0,-2.0 to -1.0,-2.0 to -1.0,-2.0 to -1.0,-1.5 to -0.5,-0.5 to 0.5,-0.5 to 0.5,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0
                Other meats,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,0.0 to 1.0,0.0 to 1.0,-0.5 to 0.5,-0.5 to 0.5,-0.5 to 0.5,-0.5 to 0.5,-1.0 to 0.0,-1.5 to -0.5
             Poultry,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,1.5 to 2.5,1.0 to 2.0,1.0 to 2.0,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.0 to 1.0,-0.25 to 0.75,-0.25 to 0.75
