2020 CPI forecasts,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
             Fish and seafood,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,-0.5 to 0.5 ,1.0 to 2.0,1.5 to 2.5, 1.5 to 2.5, 1.5 to 2.5,1.5 to 2.5,2.5 to 3.5 ,2.5 to 3.5,2.5 to 3.5
        Eggs,4.0 to 5.0,4.0 to 5.0,4.0 to 5.0,4.0 to 5.0,4.0 to 5.0,4.0 to 5.0,5.0 to 6.0,5.0 to 6.0,5.0 to 6.0,6.0 to 7.0 ,8.0 to 9.0,8.0 to 9.0, 8.0 to 9.0, 7.0 to 8.0,6.0 to 7.0,4.5 to 5.5 ,4.5 to 5.5,4.0 to 5.0
        Dairy products,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,2.5 to 3.5,3.0 to 4.0, 3.0 to 4.0 , 3.0 to 4.0 ,3.0 to 4.0 ,3.0 to 4.0,3.5 to 4.5 ,3.5 to 4.5
        Fats and oils,-2.0 to -1.0,-2.0 to -1.0,-2.0 to -1.0,-2.0 to -1.0,-2.0 to -1.0,-2.0 to -1.0,-2.0 to -1.0,-2.0 to -1.0,-2.0 to -1.0,-2.0 to -1.0,-0.5 to 0.5, -0.5 to 0.5,-0.5 to 0.5,0.0 to 1.0, 0.0 to 1.0,1.0 to 2.0 ,1.0 to 2.0,1.0 to 2.0
        Fruits and vegetables,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,-0.5 to 0.5 ,-0.5 to 0.5,0.0 to 1.0, 0.0 to 1.0, 0.0 to 1.0, 0.0 to 1.0,0.5 to 1.5 ,1.0 to 2.0 ,1.0 to 2.0
            Fresh fruits & vegetables,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,-0.5 to 0.5 ,-0.5 to 0.5,0.0 to 1.0, 0.0 to 1.0, 0.0 to 1.0, 0.0 to 1.0,0.0 to 1.0,0.5 to 1.5 ,0.5 to 1.5
              Fresh fruits,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,-0.5 to 0.5,-0.5 to 0.5,-2.0 to -1.0 ,-2.0 to -1.0, -1.5 to -0.5,-1.5 to -0.5 ,-1.5 to -0.5 ,-1.5 to -0.5 ,-1.5 to -0.5,-1.5 to -0.5,-1.5 to -0.5
              Fresh vegetables,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,-0.5 to 0.5 ,0.5 to 1.5,1.5 to 2.5, 1.5 to 2.5, 1.5 to 2.5, 1.5 to 2.5,1.5 to 2.5,2.0 to 3.0 ,2.0 to 3.0
            Processed fruits & vegetables,-0.5 to 0.5,-0.5 to 0.5,-0.5 to 0.5,-0.5 to 0.5,-0.5 to 0.5,-0.5 to 0.5,-0.5 to 0.5,-0.5 to 0.5,-0.5 to 0.5,0.0 to 1.0 ,1.0 to 2.0,1.5 to 2.5, 1.5 to 2.5 , 1.5 to 2.5 , 1.5 to 2.5 ,3.0 to 4.0 ,3.0 to 4.0,3.0 to 4.0
        Sugar and sweets,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.5 to 1.5,2.5 to 3.5 ,3.0 to 4.0,3.0 to 4.0, 3.0 to 4.0, 3.0 to 4.0, 3.0 to 4.0, 3.0 to 4.0, 3.0 to 4.0, 3.0 to 4.0
        Cereals and bakery products,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,1.0 to 2.0 ,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.5 to 2.5,1.5 to 2.5, 1.5 to 2.5, 1.5 to 2.5, 1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5
        Nonalcoholic beverages,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,2.0 to 3.0 ,2.5 to 3.5,2.5 to 3.5, 2.5 to 3.5, 2.5 to 3.5, 2.5 to 3.5,3.0 to 4.0 ,3.0 to 4.0,3.0 to 4.0
        Other foods,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.5 to 1.5,2.5 to 3.5 ,3.0 to 4.0,3.0 to 4.0, 3.0 to 4.0, 3.0 to 4.0, 3.0 to 4.0,3.0 to 4.0,3.0 to 4.0,3.0 to 4.0
About this table: ,,,,,,,,,,,,,,,,,,
      1. Each column represents the month/year that the forecast was made. ,,,,,,,,,,,,,,,,,,
      2. Each cell represents the percent change range for each forecast. ,,,,,,,,,,,,,,,,,,
"Source: USDA, Economic Research Service.",,,,,,,,,,,,,,,,,,
"For questions, contact:",,,,,,,,,,,,,,,,,,
"Matthew MacLachlan, matthew.maclachlan@usda.gov or Megan Sweitzer, megan.sweitzer@usda.gov
",,,,,,,,,,,,,,,,,,
