2004 CPI forecasts,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
Consumer Price Index item,2003-07-01 00:00:00,2003-08-01 00:00:00,2003-09-01 00:00:00,2003-10-01 00:00:00,2003-11-01 00:00:00,2003-12-01 00:00:00,2004-01-01 00:00:00,2004-02-01 00:00:00,2004-03-01 00:00:00,2004-04-01 00:00:00,2004-05-01 00:00:00,2004-06-01 00:00:00,2004-07-01 00:00:00,2004-08-01 00:00:00,2004-09-01 00:00:00,2004-10-01 00:00:00,2004-11-01 00:00:00,2004-12-01 00:00:00
All food,2.0 to 2.5,2.0 to 2.5,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.2 to 3.2,2.2 to 3.2,2.5 to 3.5,2.5 to 3.5,3.0 to 4.0,3.0 to 4.0,3.0 to 4.0,3.0 to 4.0,3.0 to 4.0,3.0 to 4.0,3.0 to 4.0,3.0 to 4.0
    Food away from home,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5
    Food at home,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,2.0 to 3.0,2.0 to 3.0,2.5 to 3.5,2.5 to 3.5,3.0 to 4.0,3.0 to 4.0,3.0 to 4.0,3.5 to 4.5,3.5 to 4.5,3.5 to 4.5,3.5 to 4.5,3.5 to 4.5,3.5 to 4.5,3.5 to 4.5
"        Meats, poultry, and fish",1.5 to 2.0,1.5 to 2.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,2.5 to 3.5,3.5 to 4.5,5.0 to 6.0,6.0 to 7.0,6.5 to 7.5,6.5 to 7.5,6.5 to 7.5,6.5 to 7.5,6.5 to 7.5
            Meats,1.5 to 2.5,1.5 to 2.5,3.0 to 4.0,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,-1.0 to 0.0,-1.0 to 0.0,0.0 to 1.0,2.5 to 3.5,4.0 to 5.0,6.0 to 7.0,6.5 to 7.5,7.5 to 8.5,7.5 to 8.5,7.5 to 8.5,7.5 to 8.5,7.5 to 8.5
                Beef and veal,2.0 to 3.0,2.0 to 3.0,3.0 to 4.0,3.0 to 4.0,3.0 to 4.0,3.0 to 4.0,-4.0 to -3.0,-4.0 to -3.0,-1.0 to 0.0,2.0 to 3.0,4.0 to 5.0,6.5 to 7.5,8.0 to 9.0,10.0 to 11.0,10.0 to 11.0,10.0 to 11.0,10.0 to 11.0,10.0 to 11.0
                Pork,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,2.0 to 3.0,2.5 to 3.5,4.0 to 5.0,4.0 to 5.0,4.0 to 5.0,4.5 to 5.5,4.5 to 5.5,4.5 to 5.5
                Other meats,1.0 to 1.5,1.0 to 1.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,0.0 to 1.0,0.0 to 1.0,0.0 to 1.0,2.0 to 3.0,3.0 to 4.0,4.0 to 5.0,4.0 to 5.0,4.0 to 5.0,4.0 to 5.0,4.0 to 5.0,4.0 to 5.0,4.0 to 5.0
             Poultry,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.5 to 2.5,2.5 to 3.5,3.0 to 4.0,3.5 to 4.5,4.5 to 5.5,4.5 to 5.5,6.0 to 7.0,6.5 to 7.5,7.0 to 8.0,7.0 to 8.0,7.0 to 8.0
             Fish and seafood,1.0 to 2.0,1.0 to 2.0,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,2.0 to 3.0,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5,2.5 to 3.5
        Eggs,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,1.5 to 2.5,2.0 to 3.0,3.0 to 4.0,5.0 to 6.0,6.0 to 7.0,7.0 to 8.0,7.0 to 8.0,7.0 to 8.0,7.0 to 8.0,6.0 to 7.0,6.0 to 7.0,5.5 to 6.5
        Dairy products,0.0 to 1.0,0.0 to 1.0,0.5 to 1.5,0.5 to 1.5,1.0 to 2.0,1.0 to 2.0,2.0 to 3.0,2.5 to 3.5,2.5 to 3.5,3.0 to 4.0,4.5 to 5.5,8.0 to 9.0,8.0 to 9.0,8.0 to 9.0,8.0 to 9.0,7.0 to 8.0,7.0 to 8.0,7.0 to 8.0
        Fats and oils,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,2.0 to 3.0,2.5 to 3.5,3.0 to 4.0,4.0 to 5.0,6.0 to 7.0,7.0 to 8.0,8.0 to 9.0,8.0 to 9.0,7.0 to 8.0,7.0 to 8.0,7.0 to 8.0,6.0 to 7.0
        Fruits and vegetables,3.0 to 4.0,3.0 to 4.0,3.0 to 4.0,3.0 to 4.0,3.0 to 4.0,3.0 to 4.0,3.0 to 4.0,3.0 to 4.0,3.0 to 4.0,3.0 to 4.0,3.0 to 4.0,3.0 to 4.0,3.0 to 4.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0
            Fresh fruits & vegetables,3.0 to 4.0,3.0 to 4.0,3.5 to 4.5,3.0 to 4.0,3.0 to 4.0,3.5 to 4.5,3.5 to 4.5,3.5 to 4.5,3.5 to 4.5,3.5 to 4.5,3.5 to 4.5,3.5 to 4.5,3.5 to 4.5,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.5 to 3.5,2.5 to 3.5
