2022 CPI forecasts,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
             Fish and seafood, 1.5 to 2.5 , 1.5 to 2.5 , 1.5 to 2.5 , 1.5 to 2.5 , 1.5 to 2.5 , 1.5 to 2.5 ,2.0 to 3.0,3.5 to 4.5,3.5 to 4.5,5.0 to 6.0,7.0 to 8.0,8.5 to 9.5,9.5 to 10.5,9.5 to 10.5,9.0 to 10.0,9.0 to 10.0,9.0 to 10.0,9.0 to 10.0
        Eggs,-0.5 to 0.5,-0.5 to 0.5,-0.5 to 0.5,-0.5 to 0.5,-0.5 to 0.5,-0.5 to 0.5,-0.5 to 0.5,-0.5 to 0.5,2.5 to 3.5,6.0 to 7.0,19.5 to 20.5,19.5 to 20.5,19.5 to 20.5,24.5 to 25.5,26.0 to 27.0,26.5 to 27.5,29.5 to 30.5,30.5 to 31.5
        Dairy products,-0.5 to 0.5,-0.5 to 0.5,-0.5 to 0.5,-0.5 to 0.5,-0.5 to 0.5,-0.5 to 0.5,1.5 to 2.5,2.5 to 3.5,4.0 to 5.0,6.0 to 7.0,7.0 to 8.0,10.5 to 11.5,12.0 to 13.0,12.0 to 13.0,12.0 to 13.0,12.0 to 13.0,11.5 to 12.5,11.5 to 12.5
        Fats and oils,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,3.0 to 4.0,6.0 to 7.0,8.0 to 9.0,10.0 to 11.0,14.0 to 15.0,16.5 to 17.5,16.5 to 17.5,18.0 to 19.0,18.0 to 19.0,18.5 to 19.5,18.0 to 19.0
        Fruits and vegetables,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,3.5 to 4.5,4.5 to 5.5,6.5 to 7.5,6.5 to 7.5,6.5 to 7.5,7.0 to 8.0,7.0 to 8.0,7.5 to 8.5,8.0 to 9.0,8.0 to 9.0
            Fresh fruits and vegetables,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,3.0 to 4.0,4.5 to 5.5,6.5 to 7.5,6.5 to 7.5,6.5 to 7.5,6.5 to 7.5,6.5 to 7.5,6.5 to 7.5,6.5 to 7.5,7.0 to 8.0
              Fresh fruits,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,2.0 to 3.0,5.0 to 6.0,6.0 to 7.0,8.5 to 9.5,8.5 to 9.5,8.5 to 9.5,8.5 to 9.5,8.0 to 9.0,8.0 to 9.0,7.5 to 8.5,7.5 to 8.5
              Fresh vegetables,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,2.0 to 3.0,1.5 to 2.5,1.5 to 2.5,1.0 to 2.0,4.0 to 5.0,4.0 to 5.0,4.0 to 5.0,4.0 to 5.0,4.0 to 5.0,4.5 to 5.5,5.5 to 6.5,6.0 to 7.0,6.5 to 7.5
            Processed fruits and vegetables,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,2.0 to 3.0,2.5 to 3.5,4.5 to 5.5,5.5 to 6.5,5.5 to 6.5,7.5 to 8.5,8.5 to 9.5,9.5 to 10.5,10.0 to 11.0,11.0 to 12.0,11.5 to 12.5,11.5 to 12.5
        Sugar and sweets,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,2.0 to 3.0,2.0 to 3.0,3.0 to 4.0,5.5 to 6.5,5.5 to 6.5,6.5 to 7.5,7.5 to 8.5,8.5 to 9.5,8.5 to 9.5,9.5 to 10.5,10.0 to 11.0,10.0 to 11.0
        Cereals and bakery products,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,1.5 to 2.5,2.0 to 3.0,3.0 to 4.0,6.0 to 7.0,7.0 to 8.0,10.0 to 11.0,12.0 to 13.0,12.0 to 13.0,13.0 to 14.0,13.0 to 14.0,13.0 to 14.0,12.5 to 13.5
        Nonalcoholic beverages,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,0.5 to 1.5,1.0 to 2.0,1.5 to 2.5,3.5 to 4.5,4.5 to 5.5,7.0 to 8.0,7.0 to 8.0,7.5 to 8.5,8.5 to 9.5,9.5 to 10.5,10.0 to 11.0,10.5 to 11.5,10.5 to 11.5
        Other foods,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.0 to 2.0,1.5 to 2.5,3.0 to 4.0,5.5 to 6.5,7.5 to 8.5,10.0 to 11.0,12.0 to 13.0,12.5 to 13.5,12.5 to 13.5,12.5 to 13.5,12.5 to 13.5,12.0 to 13.0
About this table: ,,,,,,,,,,,,,,,,,,
      1. Each column represents the month/year that the forecast was made. ,,,,,,,,,,,,,,,,,,
      2. Each cell represents the percent change range for each forecast. ,,,,,,,,,,,,,,,,,,
"Source: USDA, Economic Research Service.",,,,,,,,,,,,,,,,,,
"For questions, contact:",,,,,,,,,,,,,,,,,,
"Matthew MacLachlan, matthew.maclachlan@usda.gov or Megan Sweitzer, megan.sweitzer@usda.gov
",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,, ,,,,,,,,,,,
